B,P,C,X,N,Time
5,1,1,0,1,10.1836774
5,1,5,0,1,10.1889894
5,5,1,0,1,2.1457094
5,5,5,0,1,2.141014
10,1,1,0,1,10.1923346
10,1,5,0,1,10.1830048
10,1,10,0,1,10.1949782
10,5,1,0,1,2.1507168
10,5,5,0,1,2.1237286
10,5,10,0,1,2.142009
10,10,1,0,1,1.1188492
10,10,5,0,1,1.1217404
10,10,10,0,1,1.1239422
5,1,1,200,1,10.398546
5,1,5,200,1,10.3844418
5,5,1,200,1,10.3990176
5,5,5,200,1,2.3428186
10,1,1,200,1,10.3837448
10,1,5,200,1,10.390075
10,1,10,200,1,10.3901066
10,5,1,200,1,10.3729516
10,5,5,200,1,2.346743
10,5,10,200,1,2.3437474
10,10,1,200,1,10.408129
10,10,5,200,1,2.3106418
10,10,10,200,1,1.3187214
5,1,1,400,1,20.377071
5,1,5,400,1,10.5868846
5,5,1,400,1,20.390669
5,5,5,400,1,4.3113268
10,1,1,400,1,20.3997722
10,1,5,400,1,10.5953452
10,1,10,400,1,10.5883578
10,5,1,400,1,20.4025034
10,5,5,400,1,4.3127594
10,5,10,400,1,2.5423472
10,10,1,400,1,20.4102886
10,10,5,400,1,4.316378
10,10,10,400,1,2.3099266
